run_id;experiment_id;Basis;Matt_Beads;Matt_Silica;Wachs;Verdicker;Time_To_Mix;Time_To_Dispense;thickness;gloss_60;gloss_85;haze;CIELAB_10deg_L;CIELAB_10deg_a;CIELAB_10deg_b;Viskos1;Viskos2;abrasion0;abrasion1;abrasion2;abrasion3
842;3;91.45;3.5109999999999997;2.757;0.758;1.578;690.0;400.0;41.4;33.3;55.8;261.5;2.8841878783499997;-0.333425755377;-0.472103622739;479.672;260.81600000000003;0.1046009559384664;0.0752676025223922;0.1257844820661124;0.1257844820661124
842;4;76.92200000000001;1.032;15.229;2.745;4.059;655.0;385.0;35.6;6.0;14.2;33.8;10.821150099899999;-0.246740528404;-0.898888058137;665.22;346.111;0.0709259649756998;0.0644329638109009;0.0715096196328875;0.0715096196328875
842;5;86.673;9.147;2.145;1.7489999999999999;0.315;640.0;363.0;34.5;17.9;34.9;131.8;6.8465137266000005;-0.323979113736;-0.773647259252;243.472;145.19;0.1317936146925332;0.0976655068883801;0.1690420783628549;0.1690420783628549
842;6;92.18700000000001;0.379;0.886;3.763;2.835;640.0;359.0;38.0;42.9;64.5;324.4;2.0220196034999995;-0.360605060931;-0.155824618945;759.805;398.442;0.1350545497449491;0.1158385046391131;0.1651742679840944;0.1651742679840944
842;7;93.926;1.224;0.656;1.866;2.356;625.0;418.0;42.3;51.1;71.8;363.7;1.3871071066799994;-0.286085142387;-0.113411034413;651.239;340.331;0.0675746575892677;0.0775746073824155;0.0861775515122303;0.0861775515122303
842;8;79.39;1.861;1.0410000000000001;3.862;4.851;670.0;358.0;41.8;30.5;53.2;243.4;3.3226098885799997;-0.330763828956;-0.36579540004;1253.23;648.7080000000001;0.0456486976342531;0.0396816132465758;0.0602231192513154;0.0602231192513154
842;9;81.14200000000001;15.28;1.605;0.858;1.1019999999999999;625.0;444.0;38.4;11.0;21.7;72.2;9.480206551599998;-0.282669745977;-0.951359194438;391.503;220.95300000000003;0.0539422420371932;0.0487765845282564;0.073928962324778;0.073928962324778
842;10;86.67;2.794;4.083;2.871;3.597;716.0;454.0;36.3;20.2;38.7;157.1;4.728542020209999;-0.272834075873;-0.634989240466;797.582;407.124;0.13477025344419;0.1053823000763144;0.1397193939028798;0.1397193939028798
843;1;86.01;2.633;6.769;0.389;4.236;1530.0;320.0;35.2;16.2;32.6;117.9;4.89018151083;-0.27518112049;-0.736004857577;933.138;475.2600000000001;0.0948997369160943;0.1080790356267823;0.1283908452825641;0.1283908452825641
843;2;76.561;15.145000000000001;4.279;2.3939999999999997;1.746;655.0;336.0;35.6;6.1;12.6;34.3;12.3651131648;-0.272161177971;-1.0588326928;437.591;241.029;0.0940694410973209;0.0853604349921677;0.1293981202554524;0.1293981202554524
843;3;81.276;0.46;13.947;1.388;2.9810000000000003;614.0;325.0;40.4;9.0;19.4;55.3;8.4505223906;-0.245271250682;-0.946972375583;532.961;280.724;0.1581258535164879;0.1549069667028156;0.1626444702172952;0.1626444702172952
843;4;91.794;2.3019999999999996;2.062;3.385;0.47800000000000004;640.0;316.0;40.3;32.6;55.0;255.2;3.6300667860799996;-0.328476958108;-0.601991078366;271.559;161.575;0.1063054785717154;0.1121489285857733;0.1213386653010402;0.1213386653010402
